tripId,userId,startLocation,endLocation,startTime,endTime,distance,duration,riskScore
0255d3ea-8008-4b6a-a2c0-186855550499,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.93793999999999, 'longitude': 18.46531, 'name': 'Green Elephant Backpackers', 'address': '57 Milton Road, Observatory, Cape Town'}","{'latitude': -33.91025860000001, 'longitude': 18.3976431, 'name': 'Blackheath Lodge', 'address': '6 Blackheath Road, Three Anchor Bay, Cape Town'}",2024-02-25T07:13:50.039033,2024-02-25T07:44:50.039033,48.85,31,43.74
5cde1293-5c38-4772-859b-88da3a696277,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.92645580000001, 'longitude': 18.41203269999999, 'name': 'Protea Hotel Fire & Ice! Cape Town', 'address': '64 New Church Street, Tamboerskloof, Cape Town'}","{'latitude': -33.9157633, 'longitude': 18.4234956, 'name': 'Southern Sun Waterfront Cape Town', 'address': '1 Lower Buitengracht, Cape Town City Centre, Cape Town'}",2024-05-25T09:02:21.874300,2024-05-25T09:42:21.874300,20.14,40,42.01
1d0aadf0-b975-4fae-87c3-c37d209e3511,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.9167236, 'longitude': 18.3914761, 'name': 'The Glen Boutique Hotel & Spa', 'address': '3 The Glen, Sea Point, Cape Town'}","{'latitude': -33.9132305, 'longitude': 18.4258898, 'name': 'aha Harbour Bridge Hotel & Suites', 'address': 'Dockrail Road, Foreshore, Cape Town'}",2024-02-24T17:42:02.949257,2024-02-24T18:54:02.949257,46.15,72,55.53
3dd3059f-1e8c-4385-ab75-1602abb2784c,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.9214218, 'longitude': 18.4220856, 'name': 'Southern Sun Cape Sun', 'address': '23 Strand Street, Cape Town City Centre, Cape Town'}","{'latitude': -33.9228284, 'longitude': 18.3799718, 'name': 'The Bantry Bay Aparthotel by Totalstay', 'address': '8001, 8 Alexander Road, Bantry Bay, Cape Town'}",2024-06-20T21:44:13.089483,2024-06-20T22:38:13.089483,20.22,54,42.57
b1b14662-882f-4bc1-8241-0477ef597bcc,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.92645580000001, 'longitude': 18.41203269999999, 'name': 'Protea Hotel Fire & Ice! Cape Town', 'address': '64 New Church Street, Tamboerskloof, Cape Town'}","{'latitude': -33.9157633, 'longitude': 18.4234956, 'name': 'Southern Sun Waterfront Cape Town', 'address': '1 Lower Buitengracht, Cape Town City Centre, Cape Town'}",2024-03-13T05:16:23.547136,2024-03-13T05:36:23.547136,38.93,20,48.07
66aafc9b-04a8-4ca3-bf04-e679602b3498,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.89933289999999, 'longitude': 18.4124666, 'name': 'Radisson Blu Hotel Waterfront, Cape Town', 'address': '100 Beach Road, Granger Bay Boulevard, Cape Town'}","{'latitude': -33.9079845, 'longitude': 18.4039757, 'name': 'A Sunflower Stop Backpackers Hostel', 'address': '179 Main Road, Green Point, Cape Town'}",2024-06-24T04:32:06.368429,2024-06-24T06:25:06.368429,28.07,113,44.35
b02d35a7-d0ce-43ae-9f19-1861ca93b3b8,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.9214218, 'longitude': 18.4220856, 'name': 'Southern Sun Cape Sun', 'address': '23 Strand Street, Cape Town City Centre, Cape Town'}","{'latitude': -33.9243915, 'longitude': 18.4210207, 'name': 'Adderley Hotel', 'address': '31 Adderley Street, Cape Town City Centre, Cape Town'}",2024-02-01T17:54:13.513451,2024-02-01T19:34:13.513451,10.79,100,57.33
6038d3e4-88fc-4294-8d63-b236db688e95,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.9228284, 'longitude': 18.3799718, 'name': 'The Bantry Bay Aparthotel by Totalstay', 'address': '8001, 8 Alexander Road, Bantry Bay, Cape Town'}","{'latitude': -33.9113555, 'longitude': 18.4153048, 'name': 'Sugar Hotel', 'address': '1 Main Road, Green Point, Cape Town'}",2024-03-23T18:47:33.312024,2024-03-23T20:22:33.312024,9.14,95,55.32
58f2a92b-ec57-4c11-8b4d-1af6f78061e4,06844306-850c-4e1c-9013-8ffff22788bd,"{'latitude': -33.9157633, 'longitude': 18.4234956, 'name': 'Southern Sun Waterfront Cape Town', 'address': '1 Lower Buitengracht, Cape Town City Centre, Cape Town'}","{'latitude': -33.9228284, 'longitude': 18.3799718, 'name': 'The Bantry Bay Aparthotel by Totalstay', 'address': '8001, 8 Alexander Road, Bantry Bay, Cape Town'}",2024-01-22T22:58:06.432645,2024-01-23T00:13:06.432645,44.04,75,60.89
5bbef3f7-3277-4478-8e7a-505b1d52ae18,35082fbf-7a98-4899-962c-475054623842,"{'latitude': -33.92109, 'longitude': 18.42043, 'name': 'The Grand Daddy Boutique Hotel', 'address': '38 Long Street, Cape Town'}","{'latitude': -33.9283689, 'longitude': 18.413819, 'name': 'The Capital 15 On Orange Hotel & Spa', 'address': ""Shop 3, Corner Of Orange Street & Grey's Pass, 15 Orange Street, Gardens, Cape Town""}",2024-03-15T13:58:43.363675,2024-03-15T15:01:43.363675,40.24,63,42.41
